input,rhyme_scheme,meter
"Я только привязана к вам всею душою, люблю вас крепко, сильно, всем сердцем, но -- горька судьба моя!",ABBA,iambos
"А не хотите, так я, пожалуй, скажу, что вы мой дядя, который промотал свое состояние, чтоб не подумал старик, что я любовник жены его.",AABB,choreios
"Но это противно человеколюбию, благородству, чести... Я всё расскажу тебе, но сперва... -- Я уж всё знаю, дядюшка!",ABAB,iambos
"Вы объявите ему, что генерал, подписавший эту капитуляцию, не имел на это права, и никто не имеет, исключая лишь российского императора.",ABBA,choreios
"Дерптский студент, сильно закапав стол, разлил жженку по стаканам и закричал: «Ну, теперь, господа, давайте».",AABB,iambos
"Она поверяла счеты с Алпатычем, советовалась с Десалем о племяннике и делала распоряжения и приготовления для своего переезда в Москву.",ABAB,choreios
"Между тем смерклось, месяц взошел, с одной стороны было так светло, а о другой черные тени берегов, насупившись, бежали на лодку.",ABBA,iambos
"Но не забудем также собирать новые войска, стягивать те, которые есть, к границам, укреплять города и запасать продовольствие.",AABB,choreios
"Приказчик вышел в сад и, подняв к небу глаза, стал припоминать фамилию акцизного: — Жеребчиков... Жеребковский... Жеребенко... Нет, не то!",ABAB,iambos
"Она с любопытством на меня посмотрела и как-то странно искривила рот, как будто хотела недоверчиво улыбнуться.",ABBA,choreios
"Капитан броненосца наклонился к моему уху и прошептал конфиденциально: - Как вы думаете, немцы придут?",AABB,iambos
"Если бы она вышла за него, он  бы  наутро,  после  первой  ночи,  прогнал  бы  ее пинками... потому что это бывает.",ABAB,choreios
"С  того  разу  с  скамейкой  она  стала  к  нему чрезвычайно и как-то робко почтительна, хотя все оставалась неразговорчивою.",ABBA,iambos
"- Оно точно, батюшка Митрий Миколаич, - сказал старик с отеческим покровительством, глядя на барина, - точно в книжке пишут.",AABB,choreios
"И когда мать сказала часовых дел мастеру: «Вот мой сын», — я испуганно попятился прочь от него, спрятав руки.",ABAB,iambos
"О, это даже нужно, даже лучше, если б и совсем не знали его, и всё это видение было бы в одном только сне.",ABBA,choreios
"Я вдруг встаю и говорю Михаилу Ивановичу: мне горько вам объявить, но я не желаю вас более принимать в моем доме.",AABB,iambos
"Доктор приветствовал меня любезно, а Мефистофелес лукаво, -- но, впрочем, без насмешки он не умел обходиться никогда.",ABAB,choreios
"-- первая книга, изданная мною на Западе; ряд статей, составляющих ее, был написан по-русски в 1848 и 49 году.",ABBA,iambos
"Вот — мы оба в кипящей воде, в пене, которая ослепляет нас, волны бросают наши тела, бьют их о киль барки.",AABB,choreios
"Вернувшись домой, он к своему  изумлению  нашел,  что   вместо  чувства удовлетворения в душе у него какое-то растерянное сомнение.",ABAB,iambos
"Злой он, а она — кисель… И рассказывает, воодушевляясь: — Все-таки теперь уж не бьют так, как бивали!",ABBA,choreios
"Вечное движение в одном кругу, вечное повторение, вечная смена дня с ночью и ночи с днем, капля радостных и море горестных слез.",AABB,iambos
"– Ну, я очень рад, – сказал он, холодно оглядывая ее, ее прическу, ее платье, которое он знал, что она надела для него.",ABAB,choreios
"Марья Дмитриевна, всегда чувствительная на ласку и уже вовсе не ожидавшая такой любезности от «тюленя», умилилась душою и согласилась.",ABBA,iambos
Ставится прямо вопрос: что лучше – многим ли десяткам миллионов работников идти на улицу или единицам миллионов райи пострадать от турок?,AABB,choreios
"Вон, вон, во все глаза на него смотрит, молчит, не уходит, стоит, а сама же не велела ему приходить… Он весь бледный сидит.",ABAB,iambos
"— Я не преступник, — обиделся Урбенин, — прошу вас быть в ваших выражениях поосторожнее... — Замолчите, любезнейший!",ABBA,choreios
"Но темнота зимнего утра, глубина снега и изнурение лошадей препятствовали дружному содействию войск.",AABB,iambos
"В Петербурге, только что остановился поезд и она вышла, первое лицо, обратившее ее внимание, было лицо мужа.",ABAB,choreios
"Она осторожно, чуть дыша, забирая все в сторону, обогнала темное пятно, оглянулась на него и узнала.",ABBA,iambos
"Все это очень не понравилось Чарскому, которому неприятно было видеть поэта в одежде заезжего фигляра.",AABB,choreios
"Тут его кто-то позвал, я подождал его, он воротился, да и стал перо чинить, а меня как будто не замечает.",ABAB,iambos
"Они не иначе знакомятся, как спасая от верной смерти свою любезную... - И вы в самом деле хотите волочиться за княжной?..",ABBA,choreios
"Письмо содержало в себе признание в любви: оно было нежно, почтительно и слово в слово взято из немецкого романа.",AABB,iambos
"Особняк соблазнял меня; оставалось только похлопотать насчет прислуги, так как совершенно без прислуги нельзя было жить.",ABAB,choreios
"Сколько она ни готовилась, ни старалась успокоиться, она знала, что не в силах будет без слез увидать его.",ABBA,iambos
"Побледнеет твой фантастический мир, замрут, увянут мечты твои и осыплются, как желтые листья с деревьев… О Настенька!",AABB,choreios
"-- Рим, мой дорогой, -- говорил мне Ремигий, словно изъясняя урок непонятливому ученику, -- средоточие мира.",ABAB,iambos
"Я тоже, с своей стороны, буду ходить-с у главного подъезда, так что мы не пропустим; а я все боялся один пропустить; я не хочу пропустить.",ABBA,choreios
"Француз поглядел на полотно, задумался, взглянул вопросительно на Пьера, и как будто взгляд Пьера что-то сказал ему.",AABB,iambos
"О, боже мой, вот до чего принуждена доходить наша талантливая молодежь из-за вины наших старых порядков и предрассудков!",ABAB,choreios
"И когда она спрашивала себя, что же такое было то, что мучило ее, она должна была признаваться, что это были ее отношения к Ростову.",ABBA,iambos
"Там я стал на коленки, сложил руки, поблагодарил отца небесного за свое спасение и с покойным чувством заснул.",AABB,choreios
"Но вот из дождя снова появился бегущий Гаврила, он летел птицей; подбежав к Челкашу, упал перед ним и стал ворочать его на земле.",ABAB,iambos
"Иногда он, вздохнув, высовывал тёмный, круглый, как пест, язык и, ловко делая им правильный круг, гладил толстые масленые губы.",ABBA,choreios
"Они намерены были вести подкопы по яру Старицы, кругом всей крепости, под соборную церковь, под батареи и под комендантские палаты.",AABB,iambos
"Они летали в воздухе вокруг нас и ложились на обсыхающее от мороза жнивье, попадали нам в глаза, на волосы, на платья.",ABAB,choreios
"– Старушка высморкалась и, нагиная голову то направо, то налево, тщательно утерла один глаз после другого.",ABBA,iambos
"Он составлял себе, как говорил, серьезную библиотеку и за правило поставлял прочитывать все те книги, которые он покупал.",AABB,choreios
"Я подошел к нему, перерыл солому в деревянной коробке и, к необыкновенному удовольствию своему, вытащил небольшую связку маленьких бумажек.",ABAB,iambos
"Я знала, что ему хотелось иметь полное собрание сочинений Пушкина, в последнем издании, и я решила купить Пушкина.",ABBA,choreios
"– Полно, Анна Аркадьевна, – заговорил Корсунский, забирая ее обнаженную руку под рукав своего фрака.",AABB,iambos
"— Ты — сядь, мамаша... Мать грузно опустилась рядом с ним и выпрямилась, насторожилась, ожидая чего-то важного.",ABAB,choreios
"— Они мне помогут!» Впереди этих людей бежал один в странном кивере и в синей шинели, черный, загорелый, с горбатым носом.",ABBA,iambos
"У ней именно как раз к  тому  времени сократили ее жениха и увезли под опеку в Царское, да еще взяли  и  ее  самое под опеку.",AABB,choreios
"Павел Александрович вышел в переднюю и надевал уже шубу, как вдруг, откуда ни возьмись, Настасья Петровна.",ABAB,iambos
При новой жене в доме всё пошло вверх дном; никому житья от нее не стало; она всех к рукам прибрала.,ABBA,choreios
"Я делаю себе комнатку и хочу войти в нее; но Федор Филиппыч, который видел в погребце мои деньги, говорит: ""Стой!",AABB,iambos
"– спросил Вронский, думая, что ему, как русскому меценату, несмотря на то, хороша ли, или дурна его картина, надо бы помочь художнику.",ABAB,choreios
"- подумал он,  прислушиваясь к порыву ветра, который дул в передок, нагибая его, и сек его лубок снегом.",ABBA,iambos
"Жизнь его текла с быстротой речной волны, каждый день приносил новые ощущения, порождая новые мысли.",AABB,choreios
"Пугачев в начале своего бунта взял к себе в писаря сержанта Кармицкого, простив его под самой виселицей.",ABAB,iambos
"В шестом часу вечера Кутузов приехал в главную квартиру императоров и, недолго пробыв у государя, зашел к обер-гофмаршалу графу Толстому.",ABBA,choreios
"), где проявилось в полной мере выдающееся полководческое искусство Багратиона, сыгравшего большую роль в победах суворовской армии.",AABB,iambos
Все союзники Наполеона сделались вдруг его врагами; и это ополчение пошло против собравшего новые силы Наполеона.,ABAB,choreios
"Ей все-таки было неловко с Базаровым, хотя она и ему сказала, и сама себя уверила, что все позабыто.",ABBA,iambos
"Тогда поймешь, что всё это - сила человеческая, всё это-ум людской... Тысячи людей в деньги твои жизнь вложили.",AABB,choreios
"А этой зимой перед Рождеством на десять мучеников в Крите, когда метель день и ночь стояла... помнишь?",ABAB,iambos
"Она проснулась, - мое лицо, тишина; она бросилась к люльке и с криком грохнулась без чувств на землю.",ABBA,choreios
"Тут подушные прибавили, столовый запас тоже сбирать больше стали, а земель меньше стало, и хлеб рожать перестал.",AABB,iambos
"— Надо придумать что-нибудь, — озабоченно пощупывая бородку, говорил Андрей и виновато улыбался, тяжко вздыхал.",ABAB,choreios
"«Что, если, — думал он на другой день вечером, бродя по Петербургу, — что, если старая графиня откроет мне свою тайну!",ABBA,iambos
А я стар... и вот единого друга схоронил и стал теперь как нищий... не нажить уж мне товарища для души!,AABB,choreios
"При таком ужасном зрелище уже последний страх, тот, который, по рассказам, наводил на людей голос Пана, охватил меня.",ABAB,iambos
"И покойник (царство ему небесное) обещал со мною по-свойски переведаться, а сынок, пожалуй, сдержит слово батюшкино.",ABBA,choreios
"Снег крутился спереди, сбоку, засыпал полозья, ноги лошадей по колени и сверху валил на воротники и шапки.",AABB,iambos
"– Это я-с, – сказал твердый и приятный женский голос, и из-за двери высунулось строгое рябое лицо Матрены Филимоновны, нянюшки.",ABAB,choreios
"Именно «от скуки, от нашей скуки», не от пресыщения, а, напротив, от жажды… не от пресыщения, вы в этом ошиблись!",ABBA,iambos
"Я у него спросил имена некоторых гостей, и он, удовлетворив мое любопытство, добавил: -- Это все -- цвет медиоланского общества.",AABB,choreios
"Всё это разыгралось так быстро, что когда я взглянул на сучок, с которого соскочил во двор, он еще качался, сбрасывая жёлтый лист.",ABAB,iambos
"Притом она была ужасно взволнована: ей казалось, что ждет ее что-то поразительное, точно низкая, черная туча нависла над ее душой.",ABBA,choreios
"Пушкин до того удивил меня простотой и музыкой стиха, что долгое время проза казалась мне неестественной и читать ее было неловко.",AABB,iambos
"Он не мог понять того, чтобы кто-нибудь хотел изменить жизнь, вносить в нее что-нибудь новое, когда жизнь для него уже кончилась.",ABAB,choreios
"Я вынул из кармана свисток, так изумлявший своими звуками на сеансах, и насмешливо засвистал, глядя в лицо Бунину.",ABBA,iambos
"Мне очень совестно; согласитесь сами - долг службы; сами изволите знать, мое дело - неумыт-ное исполнение.",AABB,choreios
"Помещик с седыми усами был, очевидно, закоренелый крепостник и деревенский старожил, страстный сельский хозяин.",ABAB,iambos
"Манера, знаете, про все говорить намеками и отрывками, как будто вы все это знаете, помните и можете сами дополнить.",ABBA,choreios
"То есть, видите ли: «наказание», а не «истязание», сам говорит, значит, всего только родного отца судят за то, что ребенка побольнее посек.",AABB,iambos
"Я был тогда в Петербурге, в университете, и помню, что Ихменев нарочно писал ко мне и просил меня справиться: справедливы ли слухи о браке?",ABAB,choreios
Ф. Ф. Вигель в своих «Воспоминаниях» сообщал: молоденькие служащие архива «казались существами привилегированными.,ABBA,iambos
"Порфирий был одет, так же как и барин, в каком-то архалуке, стеганном на вате, но несколько позамасленней.",AABB,choreios
"Пьер тоже подвинулся к церкви, у которой было то, что вызывало восклицания, и смутно увидал что-то, прислоненное к ограде церкви.",ABAB,iambos
"-- отвечал Иван Иванович, выставив ему кукиш и хлопнув за собою дверью, которая с визгом захрипела и отворилась снова.",ABBA,choreios
"Но если так, то вот и у нас, стало быть, у нас всех, есть твердая и определенная национальная идея; именно национальная.",AABB,iambos
"Наташа говорит, что я был тогда такой нескладный, такой долговязый и что на меня без смеху смотреть нельзя было.",ABAB,choreios
"Попробовали сделать вылазку, но половина смельчаков была тут же перебита казаками, а половина прогнана в город ни с чем.",ABBA,iambos
"Но в  нем не было страха, в нем не было и того волнения,  какого  я  ждал;  ее  лицо выражало одну тоску, мучительную тоску.",AABB,choreios
"Когда сама сказала, что любит... -- Друг ты мой, да ведь тут же прибавила, что ""ни за что не выйду за вас"".",ABAB,iambos
"Таковое предположение ближе к истине и, как увидим сейчас, согласно с прочими известиями о начале уральских казаков.",ABBA,choreios
"Поднявшись в гору, он повернул в траншею налево и, пройдя по ней несколько шагов, очутился совершенно один.",AABB,iambos
"Что до меня,  я был решительно  обижен  последними  словами  князя;  намек  на  бесчестность Версилова был так ясен (и так удивителен!",ABAB,choreios
"Приятно, а ты смеешься... Этим, брат, шутить нельзя... Наш тоже на бедной женился, так из этого следует, что он скверно поступил?",ABBA,iambos
"Кроме того, вследствие частых и быстрых перемен положений обеих армий, сведения, какие и были, не могли поспевать вовремя.",AABB,choreios
"Быстрое движение русских за французами действовало на русскую армию точно так же разрушительно, как и бегство французов.",ABAB,iambos
"Обо всем можно спорить бесконечно, но из меня вылилось одно отрицание, без всякого великодушия и безо всякой силы.",ABBA,choreios
"Не читывал... - Оттого и не любишь, что не читал... - Я даже боюсь читать... Видел я - тут одна... хуже запоя у нее это!",AABB,iambos
"Она пришла раньше его, но он ее не заметил; прижавшись в промежуточек между стеной и клиросом, она не оглядывалась не шевелилась.",ABAB,choreios
"А мерзавцы просто наследуют имущество покойного и продолжают жизнь теплую, жизнь сытую, жизнь удобную...",ABBA,iambos
"Самое молчание девочки свидетельствовало, что ребенок не хотел выдавать тех, с которыми был в хороших отношениях».",AABB,choreios
"Вся жизнь развертывается легко и быстро как свиток; всем своим прошедшим, всеми чувствами, силами, всею своею душою владеет человек.",ABAB,iambos
"-  Пожалуйста,  подождите  звонить,  -  звонким  и  нежным  голоском  и несколько протягивая слова проговорил  другой  молодой  человек.",ABBA,choreios
"Я сказал ему, что очень люблю его, — он незабвенно просто ответил: — Так ведь и я тебя тоже люблю, — за то и боль принял, за любовь!",AABB,iambos
"Была светлая весенняя ночь, когда кортеж из четырех человек, закутанных плащами, выехал  из  дворца.",ABAB,choreios
"Чартков вступил в свою переднюю, нестерпимо холодную, как всегда бывает у художников, чего, впрочем, они не замечают.",ABBA,iambos
"То, что я  слышал  о  нравах  этой женщины, которую называли Мессалиной, утверждало меня в моем  предположении.",AABB,choreios
"""Мы одно время хотели оставить его и остаться с ним, но этого не позволили, и мы повезем его, но всего боимся.",ABAB,iambos
"Латыгин писал, что сейчас не может устроить своих дел, не может бросить жену без всяких средств, что надо ждать конца войны.",ABBA,choreios
"Вольф только что позавтракал и, по обыкновению поощряя пищеварение курением сигары и прогулкой по комнате, принял Нехлюдова.",AABB,iambos
"Во все мои четыре года каторги я вспоминал беспрерывно все мое прошедшее и, кажется, в воспоминаниях пережил всю мою прежнюю жизнь снова.",ABAB,choreios
"Однако раскаиваюсь, что написал все это: ведь известно, что г-н Спасович тоже замечательно талантливый адвокат.",ABBA,iambos
"Поликей прикинул свою специю на руке и встряхнул; но ему показалось мало, и он высыпал в десять раз более.",AABB,choreios
"Далее в переднем углу было небольшое место, отгороженное занавеской или простыней, тоже перекинутою чрез веревку, протянутую поперек угла.",ABAB,iambos
"— В чем состоит связь этого человека с моим детством, с моею жизнью?» — спрашивал он себя, не находя ответа.",ABBA,choreios
"Государь с улыбкой обратился к одному из своих приближенных, указывая на молодцов-апшеронцев, и что-то сказал ему.",AABB,iambos
"Ей-богу, у нас уже начиналось нечто подобное в этом роде, в последние сто лет, именно пропорционально разрыву нашему с народом.",ABAB,choreios
"-- Я теперь, Кузя, -- сказала Даша, -- читаю роман, Зотова сочинение: ""Цын-Киу-Тонг, или три добрые дела духа тьмы"", -- очень интересно.",ABBA,iambos
"Он ничего не думал, ничего не желал, кроме того, чтобы не отстать от мужиков и как можно лучше сработать.",AABB,choreios
"Ну, тут она уж совсем растаяла; со мной и о том и о сем, и где я учился, и у кого бываю, и какие у меня славные волосы, и пошла, и пошла.",ABAB,iambos
"Она очень легко и без усилия поняла мотивы, руководившие этими людьми, и, как человек из народа, вполне сочувствовала им.",ABBA,choreios
"Кажется, он не мог надивиться моему увлечению, моему восторгу, такой внезапной, горячей, пламенной дружбе.",AABB,iambos
"Чичиков съел чего-то чуть ли не двенадцать ломтей и думал: «Ну, теперь ничего не приберет больше хозяин».",ABAB,choreios
"-  Если Россия только материал для более благородных племен, то почему же  ей  и  не послужить таким материалом?",ABBA,iambos
"Тарас тоже очень понравился моему слушателю, но он не мог затемнить яркого впечатления от книги Костомарова.",AABB,choreios
"Многие сняли сюртуки (особенно те, у которых были тонкие и совершенно свежие рубашки), я сделал то же и понял, что началось.",ABAB,iambos
"Рыбин посмотрел на него и тихонько заговорил: — Приходит к нам, сидит и рассказывает всегда одно — про эту издевку над человеком.",ABBA,choreios
"87  Эти люди представляют себе природу и человеческое общество иными, чем их сотворил бог и чем они являются в действительности (фр.).",AABB,iambos
"Если отряды наших товарищей окружены значительными силами врагов и не могут сопротивляться, то мы тоже должны бороться?",ABAB,choreios
"Именно он на эту ладонку указывал как на то, что у него есть средства, но что он не отдаст эти полторы тысячи!",ABBA,iambos
"Пусти, ради небесного создателя, -- молил Васильев тонким, дребезжащим голосом, высунув из кузова голову.",AABB,choreios
"И вот лавчонка твоя запустела, и ты пошел попивать да валяться по улицам, приговаривая: «Нет, плохо на свете!",ABAB,iambos
"— Господа, сим восхва-а-алим и возблагодарим творца на-а-шего, — поет слепой, аккомпанируя себе на звучном инструменте.",ABBA,choreios
"Он  добр  к  нашему семейству и даже... принимал участие, но собственно я, я лично, я никогда не брал денег.",AABB,iambos
"Он доказывал, что завещание было выманено насильно, и обещался представить свидетелей своему обвинению.",ABAB,choreios
"Он решил, что холодная рассеянность во всяком случае всего приличнее, и вследствие сего приготовился.",ABBA,iambos
"– И ее закопают, и Федора подавальщика с его курчавой, полною мякины бородой и прорванной на белом плече рубашкой закопают.",AABB,choreios
"Ни театра, ни музыки, а на последнем танцевальном вечере в клубе было около двадцати дам и только два кавалера.",ABAB,iambos
"У меня была маленькая бриллиантовая булавка, и я ее продал одному перекупщику; он по деревням ездил и старым платьем торговал.",ABBA,choreios
"– обратился он к брату, указывая на господина в поддевке, – это господин Крицкий, мой друг еще из Киева, очень замечательный человек.",AABB,iambos
"Когда я в Берлине получил оттуда несколько маленьких писем, которые они уже успели мне написать, то тут только я и понял, как их любил.",ABAB,choreios
"Оставив этого солдата, который, очевидно, был пьян, Ростов остановил лошадь денщика или берейтора важного лица и стал расспрашивать его.",ABBA,iambos
"205  Нет, нет, пожалуйста… Вы мамзель Бурьен; я уже знакома с вами по той дружбе, какую имеет к вам моя золовка, Она по ожидает нас.",AABB,choreios
"Увидя это, Григорий был до того убит, что не только молчал вплоть до самого дня крещения, но и нарочно уходил молчать в сад.",ABAB,iambos
"Николай в своем старушечьем наряде, на который он надел гусарский, подпоясанный плащ, стоял в середине своих саней, подобрав вожжи.",ABBA,choreios
"Он знал все трудности, связанные с этим делом, но он сказал, что сделает это, и теперь он должен исполнить угрозу.",AABB,iambos
"Он возвратился к своему микроскопу, но сердце у него расшевелилось, и спокойствие, необходимое для наблюдений, исчезло.",ABAB,choreios
"- О... о... ох, эти мне петербургские чиновнику портфельчик эдакий сафьянный с золотым замочком под мышкой, а плохие дельцы.",ABBA,iambos
"Как хорошо это, когда знаешь, что уже есть в жизни свет для всех людей и — будет время — увидят они его, обнимутся с ним душой!",AABB,choreios
"– впиваются в Санина, и губы сжимаются… и раскрываются вдруг для обиды… А Панталеоне протягивает руку и указывает на Санина – кому?",ABAB,iambos
"– Надо же вам дать хоть кофею откушать, – сказал Матвей тем дружески грубым тоном, на который нельзя было сердиться.",ABBA,choreios
"Она всё знает… Не поверил я, что закройщица знает, как смеются над нею, и тотчас решил сказать ей об этом.",AABB,iambos
"Его мать слезла с печи, намочила под рукомойником полотенце и, подойдя к Леньке, взяла его левую руку.",ABAB,choreios
"В некоторых селениях, через которые мы проезжали, едва ли не половина всех жилищ стояла с дверями и окнами, заколоченными досками.",ABBA,iambos
"-- Конечно, вы не делали мне предложения, но ведь я вправе была думать, что вы любите меня, когда позволяла обнимать себя.",AABB,choreios
"Вы сами можете вообразить действие, какое произвело на меня это известие, а молчание ваше усугубляет мое удивление.",ABAB,iambos
"Не знаю как, я несколько высвободился, я тащился по каменному  полу  за своим судьей, ловил край его одежды.",ABBA,choreios
"Днем капало с крыш, устало и потно дымились серые стены домов, а к ночи везде смутно белели ледяные сосульки.",AABB,iambos
"Ростов замечал что-то новое между Долоховым и Соней; но он не определял себе, какие это были новые отношения.",ABAB,choreios
"И до сих пор мое сердце  дрожит,  когда  я  вспоминаю  эту  прогулку  вдоль  берега,  в  виду сумрачного замка, в лучах заката.",ABBA,iambos
"На другой же день, наутро, до больницы еще, ударила настоящая, и столь сильная, что уже много лет таковой не бывало.",AABB,choreios
"У Абогина, кроме бледного лица, теперь видна была его большая голова и маленькая, студенческая шапочка, едва прикрывавшая темя.",ABAB,iambos
"В ариергарде Дохтуров и другие, собирая батальоны, отстреливались от французской кавалерии, преследовавшей наших.",ABBA,choreios
"Вечером камердинер давал пир, от которого вся дворня двое суток пахла водкой, и, точно, он расходов не пожалел.",AABB,iambos
"Я знала,  что она обдуманно, осторожно, но неизбежным путем ведет меня к гибели, и уже  не сопротивлялась.",ABAB,choreios
"Все равно что пьяная каналья загорланит, как «поехал Ванька в Питер», а я за две секунды радости отдал бы квадриллион квадриллионов.",ABBA,iambos
"-- Я, признаюсь, был вне себя от изумления, когда этот почтенный старик объявил мне сегодня поутру ваше решение.",AABB,choreios
"Казалось, как будто в эту минуту разом и вдруг ожили в душе его те напряжения и порывы, которые некогда были ему знакомы.",ABAB,iambos
"Как будто взгляд этот взорвал его, он, подняв руку, закричал почти, обращаясь к народу: — Своим судом расправляйтесь с ним!",ABBA,choreios
"У хозяина, которому Егор Михайлович дал записку, был совсем готовый охотник, проживший уже двадцать три целковых и уже одобренный в палате.",AABB,iambos
"Разумеется, наша размолвка не будет долгой; мы просто встретимся следующий раз, как если бы никакой ссоры не было.",ABAB,choreios
"Но ход ее не изменился, и Вронский, получив в лицо комок грязи, понял, что он стал опять в то же расстояние от Гладиатора.",ABBA,iambos
"Оля поднялась, молча надела шляпу и подала мне руку... На лице ее был написан испуг... — А что, если Урбенин узнает?",AABB,choreios
"Нет, этого уже невозможно выгнать: он говорит, что в детстве мамка его ушибла, и с тех пор от него отдает немного водкою.",ABAB,iambos
"-- Навещу-с, я еще давеча подумал, да и случай удобный... И зачем, зачем это его дергало смотреть крокодила!",ABBA,choreios
"Дело в том, что мы и рады бы читать по-русски; но словесность наша, кажется, не старее Ломоносова и чрезвычайно еще ограниченна.",AABB,iambos
"И коли бы тогда крикнул Лойко: «В ножи, товарищи!» — то и пошли бы мы все в ножи, с кем указал бы он.",ABAB,choreios
"-зазвучал, как скрип подпилка по железу, спокойно-зловещий голос Маякина .- Покорнейше прошу - не препятствуйте!",ABBA,iambos
"- Я притащу моего пациента - ну что вам в самом деле, через час разъедетесь; он предобрейщий человек и был бы преумный.",AABB,choreios
"Ах, Алексей Федорович, что, если я опять не удержусь, как дура, и засмеюсь, как давеча, на вас глядя?",ABAB,iambos
"Один раненый старый солдат с подвязанной рукой, шедший за телегой, взялся за нее здоровой рукой и оглянулся на Пьера.",ABBA,choreios
"– речь его, горькая и даже злая, не отзывалась желчью, а скорее печалью, и правдивою, искреннею печалью.",AABB,iambos
"«Но, — прибавил он, — с тех пор, как я перешел за Прут, я не тронул ни волоса чужого добра, не обидел и последнего цыгана.",ABAB,choreios
"Мне представлялось долгое, безвыходное страдание, мученичество, жертва, приносимая покорно, безропотно и напрасно.",ABBA,iambos
"- Я думал, что вы откровенны; я думал, что вы не умеете хитрить, скрывать свои чувства, лукавить... Софья приблизила лицо свое к нотам.",AABB,choreios
"Литвинов взял шляпу, сказал, что не намерен мешать ему и зайдет позже осведомиться о здоровье, и удалился.",ABAB,iambos
"Шагов было двадцать шесть, но он сделал маленький шажок и ровно на двадцать седьмом подошел к креслу.",ABBA,choreios
"Хоть и разорили они гнездо, нет там больше друзей-товарищей... «Это он для меня говорит!» — быстро сообразила мать.",AABB,iambos
"Говоря это, я вовсе не думаю равнять себя с Колумбом, и если кто выведет это, тому будет стыдно и больше ничего.",ABAB,choreios
